iter	Passed	Remaining
0	1	1352
1	2	1284
2	3	1242
3	4	1208
4	6	1228
5	7	1213
6	8	1196
7	9	1189
8	10	1197
9	12	1209
10	13	1213
11	14	1199
12	15	1189
13	17	1204
14	19	1248
15	20	1251
16	21	1260
17	23	1264
18	24	1265
19	25	1265
20	27	1264
21	28	1266
22	29	1261
23	30	1257
24	32	1250
25	33	1253
26	34	1252
27	36	1249
28	37	1244
29	38	1241
30	39	1238
31	40	1231
32	41	1226
33	43	1227
34	44	1229
35	45	1225
36	47	1223
37	48	1230
38	50	1234
39	51	1236
40	53	1242
41	54	1249
42	56	1251
43	57	1259
44	59	1261
45	60	1264
46	62	1269
47	64	1278
48	66	1285
49	67	1286
50	69	1285
51	70	1287
52	72	1288
53	73	1289
54	75	1290
55	76	1297
56	78	1297
57	79	1297
58	81	1299
59	82	1299
60	84	1303
61	86	1304
62	88	1310
63	89	1312
64	91	1323
65	93	1323
66	95	1324
67	96	1325
68	98	1327
69	99	1328
70	101	1329
71	103	1333
72	105	1333
73	106	1338
74	108	1336
75	109	1335
76	111	1334
77	112	1335
78	114	1335
79	115	1333
80	117	1333
81	119	1337
82	121	1337
83	122	1339
84	124	1339
85	126	1341
86	128	1343
87	129	1344
88	131	1344
89	132	1344
90	134	1342
91	136	1342
92	137	1340
93	139	1341
94	140	1341
95	142	1339
96	143	1337
97	145	1336
98	146	1335
99	148	1334
100	149	1334
101	152	1338
102	153	1338
103	155	1340
104	157	1340
105	159	1342
106	160	1340
107	162	1339
108	163	1339
109	165	1338
110	166	1335
111	168	1333
112	169	1333
113	171	1333
114	173	1332
115	174	1331
116	176	1329
117	177	1328
118	179	1328
119	181	1328
120	182	1327
121	184	1326
122	186	1327
123	187	1326
124	189	1327
125	191	1328
126	193	1328
127	194	1327
128	196	1327
129	198	1326
130	199	1324
131	201	1324
132	203	1323
133	204	1322
134	206	1322
135	208	1321
136	209	1321
137	211	1320
138	213	1320
139	214	1318
140	216	1316
141	218	1318
142	219	1318
143	221	1317
144	223	1316
145	224	1314
146	226	1313
147	227	1311
148	229	1310
149	230	1307
150	232	1307
151	233	1305
152	235	1301
153	236	1299
154	238	1297
155	239	1296
156	241	1294
157	242	1293
158	243	1290
159	245	1287
160	246	1286
161	248	1283
162	249	1280
163	250	1278
164	252	1276
165	254	1276
166	255	1274
167	256	1271
168	258	1268
169	259	1266
170	260	1262
171	261	1260
172	262	1256
173	264	1253
174	265	1251
175	266	1247
176	267	1244
177	268	1241
178	270	1239
179	271	1236
180	272	1234
181	274	1232
182	275	1230
183	276	1227
184	277	1224
185	279	1221
186	280	1218
187	281	1216
188	282	1213
189	284	1211
190	285	1210
191	286	1207
192	288	1204
193	289	1202
194	290	1198
195	291	1196
196	292	1194
197	294	1191
198	295	1189
199	296	1187
200	298	1184
201	299	1183
202	301	1182
203	302	1180
204	303	1178
205	304	1175
206	306	1173
207	307	1171
208	308	1169
209	310	1166
210	311	1164
211	312	1162
212	314	1161
213	315	1160
214	317	1158
215	319	1158
